"선명","역명","도로명주소","gu","dong","x","y"
"경의중앙","수색","서울특별시 은평구 수색로 261-1","은평구","수색동","126.895659201671","37.5808147253405"
"경의중앙","디지털미디어시티","서울특별시 은평구 수색로 193","은평구","수색동","126.900250572829","37.577876499679"
"경의중앙","가좌","서울특별시 서대문구 수색로 27","서대문구","남가좌1동","126.915149791265","37.5688870324193"
"경의중앙","홍대입구","서울특별시 마포구 양화로 188","마포구","서교동","126.926498328277","37.5577458058734"
"경의중앙","서강대","서울특별시 마포구 서강로 118","마포구","대흥동","126.934808313154","37.5527051004675"
"경의중앙","공덕","서울특별시 마포구 마포대로 92","마포구","도화동","126.95133595616","37.5428436189268"
"경의중앙","효창공원앞","서울특별시 용산구 백범로 지하287 (효창동)","용산구","효창동","126.961318543969","37.539334042393"
"경의중앙","용산","서울특별시 용산구 한강대로 23길 55","용산구","한강로동","126.964741503485","37.5297718014452"
"경의중앙","이촌","서울특별시 용산구 이촌로 71길 42","용산구","한강로동","126.973595696064","37.5222293914391"
"경의중앙","서빙고","서울특별시 용산구 서빙고로 238","용산구","서빙고동","126.990048630943","37.5199555398566"
"경의중앙","한남","서울특별시 용산구 독서당로 6길 12-13","용산구","한남동","127.008249820572","37.5291881521046"
"경의중앙","옥수","서울특별시 성동구 동호로 21","성동구","옥수동","127.018329991576","37.5410468905674"
"경의중앙","응봉","서울특별시 성동구 고산자로 123","성동구","응봉동","127.034927944532","37.5504482266748"
"경의중앙","왕십리","서울특별시 성동구 왕십리광장로 17","성동구","행당1동","127.038394194396","37.5614417528647"
"경의중앙","청량리","서울특별시 동대문구 왕산로 214","동대문구","전농1동","127.05114707633","37.5841961381161"
"경의중앙","회기","서울특별시 동대문구 회기로 196","동대문구","휘경1동","127.058035421223","37.5897442387671"
"경의중앙","중랑","서울특별시 중랑구 중랑역로 9","중랑구","중화2동","127.075728956656","37.5948240960274"
"경의중앙","상봉","서울특별시 중랑구 망우로 297","중랑구","상봉1동","127.085436765164","37.5967137844087"
"경의중앙","망우","서울특별시 중랑구 망우로 55길 11-10","중랑구","상봉1동","127.092756577852","37.5992876153903"
"경의중앙","양원(서울시북부병원)","서울특별시 중랑구 송림길 147","중랑구","망우본동","127.107921489043","37.606554361502"
"경의중앙","서울역","서울특별시 중구 통일로 1","중구","회현동","126.972115894161","37.5560581817344"
"경의중앙","신촌","서울특별시 서대문구 신촌역로 30","서대문구","신촌동","126.942386979371","37.5598241279561"
